Identification number:,Registration date:,Section,Subsection,(Organisation) name,Legal status:,Website address:,Head office country,Head office address,Head office city,Head office post code,Head office post box,Head office phone,Belgium office address,Belgium office city,Belgium office post code,Belgium office post box,Belgium office phone,Person with legal responsibility,Position:,Person in charge of EU relations,Position:,Goals / remit,Level of interest,EU initiatives,Relevant communication,High-level groups,Consultative committees,Expert groups,Inter groups,Industry forums ,Number of persons involved:,Full time equivalent (FTE),Number of EP accredited persons,Persons accredited for access to European Parliament premises,Fields of interest,Membership,Member organisations,Financial year: Start Date,Financial year: End Date,Estimate of costs (absolute amount),Estimate of costs (as a range),Turnover (absolute amount),Turnover (as a range),Clients,Procurement:,Source,Grants:,Source
641446710469-35,16/01/2013,I - Professional consultancies/law firms/self-employed consultants,Professional consultancies,Maurus Consulting GmbH,Maurus Consulting GmbH,http://www.maurus-consulting.eu,Germany,"Vogteiweg, 29",Sylt,25980,,(+49465)936200,,,,,,Heinz Maurus,Geschäftsführer,Heinz Maurus,Geschäftsführer,"Gegenstand des Unternehmens ist die Beratung von Unternehmen aller Art, Gebietskörperschaften und anderen öffentlich-rechtlichen Trägern, Verbänden und sonstigen Vereinigungen, jeweils insbesondere im Bereich Public Relations, Kommunikation, Projektplanung und Management.","European, global, national, regional/local","Arbeitsprogramm der Kommission 2016 
Paket zur Kreislaufwirtschaft 
Legislativvorschläge zur Änderung der Abfallrichtlinien 
Nächste Schritte für eine nachhaltige Zukunft Europas 
Aktionsplan Mehrwertsteuer 
Paket zur Körperschaftssteuer 
Statistikpaket 
Energieunion 
Binnenmarkt 
Transeuropäische Netze","Teilnahme an Plenar - und Ausschusssitzungen 
Teilnahme an öffentlichen Foren und Anhörungen","Gespräche mit Kommissaren. Kabinettschefs, Generaldirektoren, Mitarbeitern der Kommission  
Teilnahme an Veranstaltungen und Anhörungen",,,,,2,1.25,1,MAURUS Heinz,"Economic and Financial Affairs, Agriculture and Rural Development, Trade, Competition, Culture, Employment and Social Affairs, Energy, Enterprise, Environment, Taxation, Internal Market, Regional Policy, Trans-European Networks, Information Society, Transport, Climate Action, Communication","Wirtschaftsrat Deutschland, Landesvorstand Brüssel 
www.wirtschaftsrat.de",,01/01/2015,01/12/2015,,50000-99999,,0-99999,"REMONDIS Assets & Services, D 44536 Lünen",,,,
466857211034-70,22/04/2013,I - Professional consultancies/law firms/self-employed consultants,Professional consultancies,The European Consulting Company (ECCO),Société Privée à Responsabilité Limitée,http://www.ecco-eu.eu/,Belgium,"Avenue de Tervueren, 13A, Bte 7",Brussels,1040,,(+32)27365354,,,,,,Maryse Hervé,Managing Director,Frances Hunt,Managing Director,"ECCO is a consultancy specialised in the management of trade associations in the food, pharma and food ingredient sectors.","European, global",Better Regulation and Transparency Register,,,,,,,1,1,,,General and Institutional Affairs,Society of European Affairs Professionals (SEAP. Transparency register Identification number: 9264296748-42),,01/01/2014,01/12/2014,,50000-99999,,0-99999,"Federation of European Specialty Food Ingredients Industries, European Food Emulsifiers Manufacturers Association, European Technical Caramel Association, European Association of Polyol Producers, Biopolymer International, European Lecithin Manufacturers Association, European Food Law Association, Federation of European Rice Millers, The European Flour Millers, International Sweeteners Association",,,,
501944210492-15,30/01/2013,I - Professional consultancies/law firms/self-employed consultants,Professional consultancies,"Serveis de Suport a la Gestio, S.L. (ENT)",Limited society,http://www.ent.cat,Spain,"Carrer de Sant Joan, 39, 1",Vilanova i la Geltru,08800,,(+34)938935104,,,,,,Ignasi Puig Ventosa,Administrator,Lydia Chaparro Elias,Consultant,"Serveis de Suport a la Gestio, S.L. is a consultancy company,  
whose aim is to develop research and innovation projects in the areas of environment, development and international cooperation. 
We work in areas such as natural resource management, waste management, ecological economics and environmental taxation, energy, climate change and water etc. 
We provide services for a diverse range of clients including local, regional and national authorities; academic and European institutions; and an array of private sector organizations.","European, global, national, regional/local",Fisheries policies,,,,,,,1,1,,,"Development, Energy, Environment, Taxation, Fisheries and Aquaculture, Research and Technology, Trans-European Networks, Climate Action","Serveis de Suport a la Gestió S.l. (ENT Environment and Management), is a member of the Catalan Association ""Ecoemprenedors"" (http://www.ecoemprenedors.cat/). It is a multidisciplinary business association aiming to promote and support entrepreneurial initiatives having sustainability at its core.",,01/01/2015,01/12/2015,,0-9999,,0-99999,Pew Charitable Trust,,,,
72771575920-88,26/05/2011,I - Professional consultancies/law firms/self-employed consultants,Professional consultancies,Aphaia Ltd (Aphaia),limited company,http://www.aphaia.co.uk,United Kingdom,"Commercial St, 155 Studio 5",London,E1 6BJ,,(+44)7508189524,,,,,,Boštjan Makarovič,Founder,Boštjan Makarovič,Founder,"Aphaia is a regulation and CSR consultancy. From privacy to sustainability, we help our clients getting it right. 
 
Whether it's a mere compliance exercise or a full-scale strategy with measurable impact, we work with our clients to make them avert risk and achieve financial benefits. We call this approach ’smart compliance’. Our projects range from data protection and IP to sustainable sourcing. We cater for startups all the way to mature businesses with international reach, operating in a variety of industries, including IT, telecoms, broadcasting, lifestyle and foods.","European, global, national, regional/local","communications, infrastructure, media, CSR","EU regulatory framework for electronic communications, EU NGA policy, EU data protection policy, non-financial reporting directive",,,,,,1,0.25,,,"General and Institutional Affairs, Economic and Financial Affairs, Audiovisual and Media, Competition, Consumer Affairs, Culture, Enlargement, Energy, Environment, Internal Market, Trans-European Networks, Information Society, Climate Action, Communication",,,01/02/2014,01/02/2015,,0-9999,,0-99999,T-2,,,,
965553914278-94,27/08/2014,I - Professional consultancies/law firms/self-employed consultants,Professional consultancies,Genna Cabinet Sprl,SPRL,,Belgium,"Rue du Tabellion, 39",Bruxelles,1050,,(+32)496381144,,,,,,Innocenzo Genna,Gérant,Innocenzo Genna,Gérant,"Società di consulenza specializzata in public affairs, analisi e supporto regolamentare e di policy a livello europeo, nei settori del digitale e delle public utilities","European, national","Telecom Single Market, Digital Single Market, electronic commerce, copyright",Informazioni sono disponibili attraverso il blog: https://radiobruxelleslibera.wordpress.com,,,,,,1,1,1,GENNA Innocenzo,"Audiovisual and Media, Competition, Internal Market, Information Society",,,01/03/2014,01/03/2015,,50000-99999,,100000-499999,"AIIP, PosteMobile SpA, Coop Italia, Metroweb, Banzai S.p.A.",,,,
898914810908-76,28/03/2013,I - Professional consultancies/law firms/self-employed consultants,Professional consultancies,KDC Conseil SPRL (KDC Conseil),SPRL,,Belgium,"Rue du Trône, 12",Brussels,1000,,(+32)22804940,,,,,,Thomas Kieffer,Partner / Manager,Thomas Kieffer,Partner / Manager,"The objective of KDC Conseil is to work together with its clients to help them define and implement their strategy to determine their positioning and influence.  
 
We are at the service of the client; we do not replace the client's teams but do strengthen their competences, their analysis and their means of intervention.  
 
In more precise terms, we offer the following services: 
- strategic advice and monitoring 
- reputation 
- representation of interests and influence 
- training",European,"Energy: biofuels/ILUC, renewables, biomass  
 
Transport: White paper en transport, sustainable urban mobility, decarbonisation  
 
Bio-economy: bio-chemistry,...",,,,,,,2,1,,,"General and Institutional Affairs, Economic and Financial Affairs, Agriculture and Rural Development, Budget, Energy, Enterprise, Environment, Taxation, Internal Market, Research and Technology, Trans-European Networks, Transport, Climate Action, Home Affairs",KDC Conseil SPRL est la filiale en Belgique de KDC CONSEIL SARL en France.,,01/01/2015,01/12/2015,,0-9999,,100000-499999,TEREOS,,,,
638996717979-40,26/06/2015,I - Professional consultancies/law firms/self-employed consultants,Professional consultancies,BDL Lobbying Srl (BDL),Studio di consulenza,,Italy,Via Giambattista Vico 20,roma,000196,,(+39)063204483,rue de Trèves 49/50,Bruxelles,1040,,(+32)025125275,Ezia Ferrucci,CEO,Ezia Ferrucci,CEO,BDL Lobbying è una società di consulenza che ha l'obiettivo di interloquire con le istituzione per creare un rapporto di comunicazione e collaborazione su obiettivi condivisi,"European, national","La Società cura gli interessi di aziende farmaceutiche, di ricerca scientifica e di commercializzazione di prodotti di largo consumo e qunmidi è interessata a conoscere tutte le normative che regomantano i settori di interesse",La Società rappresenta varie aziende che sono interessate alle attività di comunicazione e pubbliche relazioni,Row Materials,,,,,3,1.75,1,FERRUCCI Ezia,"Development, Research and Technology, Public Health",,,01/01/2015,01/05/2015,,200000-299999,,100000-499999,,,,,
862603710861-48,21/03/2013,I - Professional consultancies/law firms/self-employed consultants,Professional consultancies,IPC - Ilgner & Partner Consulting B.V. (IPC),B.V.,http://www.ipc-consulting.nl,Netherlands,Blijhamsterstraat 19 2nd floor,AS Winschoten,9671,,(+31)597792017,,,,,,Michael Ilgner,CEO,Michael Ilgner,CEO,"Die IPC - ILGNER & PARTNER CONSULTING B.V. wurde ursprünglich im Februar 1990 in Bremen in der Bundesrepublik Deutschland als ein projekt- und praxisorientiert freiberuflich arbeitender Dienstleister für Aufgabenstellungen im internationalen Projektmanagementbereich sowie in der Unternehmens- und Investitionsberatung gegründet.  
 
Am 17. Dezember 2014 wurde die IPC – ILGNER & PARTNER CONSULTING zu je 50,00% von den niederländischen Unternehmen DPL Holding B.V. (www.dpl-holding.eu) und Dutch Intraco Holding B.V. (www.dutch-intraco.eu) übernommen und wird seitdem als niederländische Kapitalgesellschaft in Rechtsform einer B.V. mit Sitz in Winschoten in der Provinz Groningen weiter geführt. 
 
Wir sind auf die operative Umsetzung von Projekten sowie auf die Übernahme von Interimsmanagementfunktionen im gesamten Spektrum der Investitions- und Projektfinanzierung mit internationalem Bezug spezialisiert. 
 
Unser Hauptinteresse liegt in der Konzeption und Durchführung von komplexen und innovativen Aufgabenstellungen. 
 
IPC - ILGNER & PARTNER CONSULTING B.V. ist durch vielfältige Kooperationen und Netzwerke sowohl innerhalb unserer Schwerpunktbranchen und Betätigungsfelder, vor allem aber in unseren bevorzugten Wirtschaftsräumen partnerschaftlich durch diverse Netzwerke und Kooperationen optimal eingebunden.  
 
IPC - ILGNER & PARTNER CONSULTING B.V. ist ein Managementdienstleister, der nach Grundsätzen seiner Philosophie berät und unterstützt sowie Hilfestellungen anbietet und diese Leistungen Mandanten ausschließlich gegen Honorar anbietet.","European, global","Erneuerbare Energien; Umweltschutz; Klimaschutz, ökologische Produktionsverfahren, Abfallvermeidung, Abfallbehandlung, Wasser,",,,,,,,7,6,,,"Development, Energy, Enterprise, Environment, Research and Technology, Trans-European Networks, Climate Action","DPL Holding B.V. www.dpl-holding.eu 
 
Dutch Intraco Holding B.V. www.dutch-intaco.eu 
 
ENREET - European Network for Renewable Energies and Energy transition www.enreet.eu 
 
ILC - Ilgner & Leszek Consulting Sp.z o.o www.ilc-consulting.pl 
 
EOD Sp.z o.o www.eod.pl",,01/01/2014,01/12/2014,,10000-24999,470000,,,,,,
595760221063-55,14/03/2016,I - Professional consultancies/law firms/self-employed consultants,Professional consultancies,Eleonora Wäktare SPRL,SPRL,,Belgium,Rue Piralewe 1,Lanaye,4600,,(+32)496828596,,,,,,Mats Wäktare,Head,Eleonora Wäktare,EU affairs,EU regulatory matters and public affairs,"European, national","Energy, Competition, Digital Single Market, Internal Market",,,,,,,1,0.5,,,"Economic and Financial Affairs, Audiovisual and Media, Trade, Competition, Energy, Enterprise, Internal Market, Information Society, Transport, Climate Action, Communication",,,01/12/2014,01/11/2015,,0-9999,,0-99999,,,,,
038458910546-31,31/01/2013,I - Professional consultancies/law firms/self-employed consultants,Professional consultancies,Decideum Ltd,LTD Company,http://www.decideum.com,United Kingdom,Niddry Lodge 51 Holland Street,London,W8 7JB,,(+44)2073681611,,,,,,Berkeley Greenwood,Senior Consultant Director,Berkeley Greenwood,Senior Consultant Director,To support our clients in ethically informing and increasing the understanding of European officials and politicians of issues of relevance to them.,"European, national",At present we follow only the Medical Device Proposal put forward by the Commission - File: 2012/0266,,,,,,,2,0.5,1,GREENWOOD Berkeley,"Research and Technology, Public Health, Home Affairs",,,01/11/2014,01/10/2015,,0-9999,,0-99999,Norgine LTD,,,,
577943117432-04,29/05/2015,I - Professional consultancies/law firms/self-employed consultants,Professional consultancies,Deloitte & Touche S.p.A. (Deloitte),Società per Azioni,http://www2.deloitte.com/it,Italy,"Via Tortona, 25",Milano,20144,,(+39)0283322111,,,,,,Pompei Fabio,Amministratore Delegato,Gianmario Crescentino,Regulatory Contact Partner,"La Società ha per oggetto l'esercizio dell'attività di revisione ed organizzazione contabile, nonché delle altre attività demandate alle società di revisione da specifiche norme di legge.",national,"EU initiatives, policies and legislative dossiers related to: 
- Audit and Accounting legislation, 
- Corporate reporting and Corporate Governance, 
- Tax and Financial Services, 
- Capital Markets Union, 
- Trade, 
- Data Security, cyber security, protection of business secrets and privacy. 
Other dossiers may also be of interest. 
 
Our organization follows the abovementioned EU initiatives on behalf of our network's member firms only, and not on behalf of clients of our organization.",,,,,,,1,0.5,1,DE LUCA Alessandro,"Economic and Financial Affairs, Agriculture and Rural Development, Budget, Trade, Competition, Education, Employment and Social Affairs, Energy, Enterprise, Environment, Taxation, Internal Market, Regional Policy, Information Society","Deloitte refers to one or more of Deloitte Touche Tohmatsu Limited, a UK private company limited by guarantee (“DTTL”), its network of member firms, and their related entities.  DTTL and each of its member firms are legally separate and independent entities.  DTTL (also referred to as “Deloitte Global”) does not provide services to clients.  Please see www.deloitte.com/about for a more detailed description of DTTL and its member firms. 
 
Deloitte & Touche S.p.A. is member of ASSIREVI – Associazione Italiana Revisori Contabili (the Italian Auditors Association)",http://www2.deloitte.com/global/en.html,01/06/2014,01/05/2015,,50000-99999,0,,,,,,
309943411467-94,01/07/2013,I - Professional consultancies/law firms/self-employed consultants,Professional consultancies,Berbalk Communications (BC),keine,http://www.berbalkcommunications.com,Germany,Schulstraße 5,Kirchheim,36275,,(+32)473 917749,Ave des Rogations 28,Brüssel,1200,,(+32)473 917749,Ottmar Berbalk,Partner,Ottmar Berbalk,Partner,"Berbalk Communications is a communications and public-affairs agency based in Germany and Brussels.  
The agency is representing European companies and professional associations. The fields of interest are media, financial services, automotive and energy. Berbalk Communications offers strategic consulting services to help its' clients to identify and promote their interests within the EU.","European, national","Data protection 
Big data 
Insurance Distribution Directive 
Co2 Emission 
Intellectual Property Rights 
VAT 
Digital Agenda 
Transport",,,,,,,4,3.25,5,"APPEL Bettina, BERBALK Ottmar, BERBALK Ottmar, DEBUSMANN Jürgen, Hauk Maxim","Economic and Financial Affairs, Audiovisual and Media, Trade, Competition, Consumer Affairs, Energy, Enterprise, Environment, Taxation, Internal Market, Information Society, Transport, Climate Action, Communication",Europa Union Brüssel,,01/01/2014,01/12/2014,,50000-99999,,100000-499999,Hubert Burda Media,,,,
808804711233-68,10/06/2013,I - Professional consultancies/law firms/self-employed consultants,Professional consultancies,Peaceful Fish Productions Ltd. (PF),commercial,http://www.peacefulfish.com/,Germany,"Derfflingerstraße, 18",Berlin,10785,,(+49)30488288561,,,,,,Thierry Baujard,CEO,Thierry Baujard,CEO,"peacefulfish - Financing the Creative Industries 
 
peacefulfish is a media consulting company, supporting the creative industries by developing innovative financial instruments and strategies to foster the growth of creative businesses and regions. 
 
Created in 2000, peacefulfish offers expertise for the global content industry, in areas such as the film, television, gameing and mobile, ICT, innovation and digital media sector. 
 
With our long-standing experience in the creative economy, we build on a unique understanding of equity financing and capacity-building for the culture and creative industries. Due to our integral insight into business planning, SME-support and public-private investment models, we assist in the valorisation and monetisation of ideas, tailor-made to the practical needs of the cultural and creative sector.  
 
Our services range from business consulting, the bespoke design of financing tools, capacity-building and project- /network management; to conceptual analyses, qualitative research and market intelligence. Peacefulfish offers expertise in financing and strategies for the creative industries, with core-competences in the following key-areas: 
 
- Culture and creative industries 
- Tailor-made financial services and incentives for the content industry 
- Film financing 
- Creative growth- and specialisation strategies for the public sector (regions, cities, councils, etc.) 
- Transversal issues (creative and digital tourism, sustainable creative industries, etc.) 
- Partnership building and match-making (linking innovation to investment) 
- Capacity-building and pitching support 
- Access to EU funding (grants, tenders) and national support schemes 
- Project- and network management   
- Business support/market intelligence/research 
 
Added Value 
 
peacefulfish understands the potential of the creative and knowledge industries as all-encompassing growth sector, catalysing economic development and innovation. Our concrete, project-based approach means we successfully assist companies and institutions in the creative content sector, being at the forefront of the creative and knowledge economy. 
 
Impact   
 
- Winner of the “Erasmus for Young Entrepreneurs” Award 2012, in the category Most Successful Post Relationship [pdf]. 
- peacefulfish’s “Study on the Role of Banks in the European Film Industry” was instrumental in creating the MEDIA production guarantee fund (MPGF) established in January 2011. The MPFG served as a blueprint for the Financial Facility, soon to become available under the Creative Europe programme. 
- Renowned track record on capacity-building and coaching: 80% of the ideas coached by peacefulfish have raised the attention of external stakeholders for financing or further developing and production.",European,"Film/audiovisual policy 
Investment policy in the creative industries",,,,Access to finance (film audiovisual group),,,1,0.25,,,"Economic and Financial Affairs, Audiovisual and Media, Culture, Education, Enterprise, Regional Policy, Research and Technology, Trans-European Networks, Information Society","Membership in consortia and professional bodies, include: EBAN - European Business Angel Association; EMF - European Multimedia Forum. 
EBN 
NEM",,01/05/2014,01/04/2015,,0-9999,,0-99999,,0,-,41355,ENTER Programm Creative Europe
042980311253-14,03/06/2013,I - Professional consultancies/law firms/self-employed consultants,Professional consultancies,EPEA Internationale Umweltforschung GmbH (EPEA),GmbH,http://www.epea.com,Germany,"Trostbrücke, 4",Hamburg,20457,,(+49)40 4313490,,,,,,Jörn Könke,Geschäftsführer,Mike Blicker,Scientific Management,"EPEA (Environmental Protection Encouragement Agency) ist ein internationales Forschungs- und Beratungsinstitut, das durch öko-effektives Design die Qualität und den Nutzwert von Materialien, Produkten und Dienstleistungen optimiert. 
 
Der Gründer von EPEA – Prof. Dr. Michael Braungart – ist gleichzeitig Erfinder des Cradle to Cradle®-Konzeptes („von der Wiege zur Wiege“), dessen kontinuierliche Weiterentwicklung und Umsetzung eines der Hauptaugenmerke in der Arbeit EPEAs ist.",global,"H2020, Umweltgesetzgebung, Aktivitäten im Bereich Circular Economy, Cradle to Cradle",,,,,,,1,0.25,,,"General and Institutional Affairs, Economic and Financial Affairs, Agriculture and Rural Development, Humanitarian Aid, Trade, Development, Education, Employment and Social Affairs, Energy, Environment, Fisheries and Aquaculture, Research and Technology, Trans-European Networks, Public Health, Food Safety, Transport, Climate Action, Communication",,,01/01/2014,01/01/2015,,0-9999,,0-99999,,,,,
250286113730-40,02/06/2014,I - Professional consultancies/law firms/self-employed consultants,Professional consultancies,Jurka Political Strategic Advisors (Jurka P.S.A.),GmbH,http://www.karljurka.com,Germany,"Rosenstraße, 2",Berlin,10178,,(+49)30243102565,,,,,,Karl Jurka,Geschäftsführender Gesellschafter,Karl Jurka,Geschäftsführender Gesellschafter,"- Beratung von Unternehmen und Verbänden im Bereich der nationalen und europäischen Politik 
 
- Political Issue Monitoring relevanter politischer Ereignisse und Entwicklungen auf nationaler und europäischer Ebene  
 
- Erstellung von Stakeholder-Mappings zur Identifikation wichtiger Entscheidungsträger","European, national",Digital Single Market; Transport,,,,,,,2,0.5,,,"General and Institutional Affairs, Economic and Financial Affairs, Budget, Trade, Competition, Energy, Enterprise, Internal Market, External Relations, Transport",SEAP; ALPAC; DEGEPOL; ÖPAV,,01/04/2014,01/03/2015,,0-9999,,0-99999,,,,,
711910311299-30,11/06/2013,I - Professional consultancies/law firms/self-employed consultants,Professional consultancies,GGI Geneva Group International (GGI),Alliance,http://www.ggi.com,Switzerland,"Schaffhauserstrasse, 550",Zürich,8052,,(+41)442561818,,,,,,Michael Reiss,CEO,Laszlo Tunyogi,Director of Business Development,"The members of our alliance work worldwide. In regard to the fact that in the following years the economic progress of both continents will be determined by the development of the free trade agreements between Europe and the United States, we wish to take an active part in the preparation of this process. We wish to further the signing of this agreement with our extensive experience and contacts. We believe that in this question, the interests of the great powers overlap those of the small and medium-sized enterprises (SME) that form our alliance.",global,"1.    Development 
2.    Employment and Social Affairs 
3.    Enterprise 
4.    Trans-European Networks 
5.    Economic and Financial Affairs 
6.    Energy 
7.    Environment 
8.    Internal Market 
9.    Regional Policy 
10.    Taxation 
11.    Budget 
12.    Competition 
13.    Customs 
14.    Enlargement 
15.    External Relations 
16.    Humanitarian Aid 
17.    Justice and Fundamental Rights 
18.    Research and Technology 
19.    Trade",,,,,,,1,0.25,3,"REISS VON FILSKI Michael, TUNYOGI Laszlo, TUNYOGINE AKOTS Klara","Economic and Financial Affairs, Humanitarian Aid, Budget, Trade, Competition, Development, Customs, Enlargement, Employment and Social Affairs, Energy, Enterprise, Environment, Taxation, Justice and Fundamental Rights, Internal Market, Regional Policy, Research and Technology, External Relations, Trans-European Networks","Our association is part of no other networks, we ourselves collect our members into an international network.",,01/12/2014,01/12/2015,,0-9999,,0-99999,,,,,
507662320824-91,25/02/2016,I - Professional consultancies/law firms/self-employed consultants,Professional consultancies,Arinel Think&Link (ARINEL),SRLS,http://www.thinklink.it,Italy,via della Colonna Antonina 35,roma,00186,00186,(+39)0669942421,"Avenue H.Jaspar, 113",Bruxelles,,1060,(+32)466312827,lucilla deleo,amministratore unico,fabrizia Sabbatini,dipendente,"Monitoraggio e Reporting 
Monitoraggio dei lavori della Commissione europea, del Parlamento europeo, del Comitato per le regioni, del Consiglio dei Ministri per specifici settori; 
Redazione e trasmissione di resoconti tecnici e report di aggiornamento sulle attività istituzionali. 
 
Bandi di progetto dell’Unione europea 
Monitoraggio di bandi di gara dell’Unione europea e stanziamenti delle linee di finanziamento, nei diversi settori di competenza; 
Studi di fattibilità; 
Pianificazione del progetto preliminare e assistenza nella redazione e realizzazione dei proposal form; 
Assistenza e follow up delle fasi di processo. 
 
Relazioni istituzionali 
Creazione di punti di contatto con le Istituzioni europee; 
Attività di rappresentanza presso le sedi istituzionali; 
Promozione di eventi a carattere istituzionale.",European,"Direttiva qualifiche professionali 
Regolamento sul trattamento dei dati personali 
Regolamento attuativo della SUP 
Attuazione regolamento sui revisori contabili 
Linee di finanziamento fondi europei",Workshop su accesso dei fondi europei ai liberi professionisti sulla base del Piano d'azione imprenditorialità 2020,,,,,,2,1,,,"General and Institutional Affairs, Competition, Enterprise, Justice and Fundamental Rights, Internal Market",FERPI - Federazioni italiana relazioni pubbliche,,01/01/2015,01/12/2015,,0-9999,,0-99999,"Associazione ricercatori di mercato sondaggi e di opinione, Franco Grasso revenue Team, Associazione ricercatori di mercato sondaggi e di opinione, Franco Grasso Revenue Team",,,,
582042711926-23,22/09/2013,I - Professional consultancies/law firms/self-employed consultants,Professional consultancies,"INSOLATIO PAMASOL, S.L. (INSOLATIO)",SOCIEDAD LIMITADA,http://www.insolatio.com,Spain,"Sta Genoveva Torres, 17",Valencia,46019,,(+34)660415631,,,,,,Jose Mainez Bosch,Director General,Jose Mainez Bosch,Director General,"INSOLATIO develops and deploys energy efficiency consultancy models for energy efficiency management systems within different activity areas like those of industry, buildings, equipment manufacturers, cities, regions, as well as specific business models. 
 
INSOLATIO´s methodology is effective from a holistic perspective delivering results not only related to energy savings but strongly facilitating the necessary transitions for the full integration of an energy efficiency culture and new vision in cooperating partners. With that regard, despite of hardware, software, equipment, and auxiliary services not being in the focus of our activity, it is not unlikely that we support our customers also in these areas in collaboration with equipment manufacturers, retailers, and other service companies so that the appropriate balance and harmonization in energy efficiency projects and initiatives lead to sustained success. 
 
Combined with emphasis on learning by doing approach, our customers´ participation in the consultancy program facilitates an open environment in which communication flow spreads to the different stakeholders involved. 
 
Our programs and technics are designed to best fit and model the current state, thus mapping the potential for growth and improvement at different levels in different environments, while aiming at project results in the widest sense: 
 
-    Energy Efficiency Improvement Tools: EEIT® 
 
-    Energy Efficiency evolution: EEe® 
 
-    EFI® indicator 
 
-    Specific Programs:  
 
•    Energy as a process driver 
•    Benchmarking energy and materials 
•    Active materials and intelligent networks 
•    Standards, models, and analytics",global,"Políticas de estímulo para la aplicación de Energía Solar Fotovoltaica en el transporte refrigerado por carretera en Europa. 
Circular economy 
Directive on Energy Efficiency 
Directive on Energy Performance of Buildings 
Directive on Energy Labelling 
Transport electrification 
Smart, Secure and Sustainable Cities 
Neighbourhood Policy (Armenia, Azerbadjan, Georgia, Moldovo, Ukraine); Iran",,,,,,,1,0.25,,,"Development, Enlargement, Energy, Enterprise, Environment, Foreign and Security Policy and Defence, Transport","Cámara de Comercio de Valencia 
Asociación Europea del Hidrógeno 
Asociación Española del Hidrógeno 
Colegio Oficial de Ingenieros Industriales de Valencia 
APEU - Ukraine",,01/01/2015,01/12/2015,3000,,,100000-499999,PPG Industries,,,,
917164011274-14,06/06/2013,I - Professional consultancies/law firms/self-employed consultants,Professional consultancies,1. Rozvojova s.r.o. (1RV),limited liability company,http://www.rozvojova.eu/,Czech Republic,"Trida Tomase Bati, 1547",Zlin,760 01,,(+420)776766390,,,,,,Petr Vasicek,executive head,Petr Vasicek,executive head,"Project Coordination 
Project Finance 
EU Projects 
International Trade Projects 
Managing Technology Development Projects 
International Cooperation and Development Projects","European, national","Horizont2020 
Eurostars 
Eureka",,,,,,,2,1,,,Research and Technology,,,01/01/2014,01/12/2014,20000,,,0-99999,"Kloboucka lesni s.r.o., Municipality Vizovice, DREVOPODNIK HAUSNER S.R.O., MGM - COMPRO",,,,
108692313910-61,04/07/2014,I - Professional consultancies/law firms/self-employed consultants,Professional consultancies,Deloitte Belastingadviseurs,BV,http://www.deloitte.com/view/nl_NL/nl/index.htm,Netherlands,"Wilhelminakade, 1",Rotterdam,3072AP,,(+0031)882882888,,,,,,Pascal Schrijver,Partner Indirect Tax,Madeleine Merkx,Senior manager/Knowledge manager Indirect Tax,"Deloitte provides audit, accounting, tax, consulting, financial advisory and risk management services",global,"Taxation, VAT, Customs",,,,,,,1,0.25,,,"Customs, Taxation",,,01/06/2014,01/05/2015,,0-9999,,0-99999,,,,,
162079011520-92,05/07/2013,I - Professional consultancies/law firms/self-employed consultants,Professional consultancies,Club Feroviar SRL (Club Feroviar),limited liability company,http://www.clubferoviar.ro,Romania,Str. Razoare 32 Sector 6,Bucharest,060119,,(+4021)2244385,,,,,,Cosmin Botez,Senior Partner,Stefan Roseanu,Senior Partner,"Club Feroviar is a Romanian based company, based in Bucharest, with an extensive experience in working in the field of business consultancy, dedicated to railway and public transport sectors. Established in 2003, Club Feroviar is a private-owned company developed in the context of Romanian railway reorganisation and the expansion of private initiative also in this field. 
In order to fulfil our goal, Club Feroviar has developed a powerful network of experts to work with, both on the Romanian market but also on the European one. Their expertise cover engineering, legal, human resources and economics fields, that was put at work through different projects we have been involved.","European, global, national","Pachetul IV Feroviar 
European Strategic Investment Fund 
Cartea Alba a Transporturilor (revizuire)",,,,,,,2,1.25,,,"Economic and Financial Affairs, Budget, Trade, Competition, Development, Enlargement, Energy, Enterprise, Environment, Taxation, Regional Policy, Trans-European Networks, Transport, Climate Action","In Romania Club Feroviar is founding member of Romanian Railway Industry Association and full member of Association for Metropolitan Mobility. 
 
At European level Club Feroviar is member of Rail Forum Europe.",,01/01/2014,01/12/2014,,200000-299999,,100000-499999,"Alstom Transport Romania, Rail Force, AIF, AFER, Swietelsky Constructii, SPIACT, Astra Vagoane Calatori, Atelierele CFR Grivita, DB International Gmbh, Dunapref, ISAF, Voestalpine VAE APCAROM, Grampet, GFR, REVA, RELOC, Electroputere VFU",,,,
